S. No.,Player,Country,Mat,Inns,NO,Runs,Highest,Hundreds,Fifties,Avg,StrikeRate
1,"Tendulkar, S R",India,463,452,41,18426,200*,49,96,44.83,86.24
2,"Sangakkara, K C",Sri Lanka,404,380,41,14234,169,25,93,41.99,78.86
3,"Ponting, R T",Australia,375,365,39,13704,164,30,82,42.04,80.39
4,"Jayasuriya, S T",Sri Lanka,445,433,18,13430,189,28,68,32.36,91.2
5,"Jayawardene, D P M D",Sri Lanka,448,418,39,12650,144,19,77,33.38,78.96
6,Inzamam-ul-Haq,Pakistan,378,350,53,11739,137*,10,83,39.53,74.24
7,"Kallis, J H",South Africa,328,314,53,11579,139,17,86,44.36,72.89
8,"Ganguly, S C",India,311,300,23,11363,183,22,72,41.02,73.71
9,"Dravid, R",India,344,318,40,10889,153,12,83,39.17,71.25
10,"Lara, B C",West Indies,299,289,32,10405,169,19,63,40.49,79.51
11,"Dilshan, T M",Sri Lanka,330,303,41,10290,161*,22,47,39.27,86.22
12,"Kohli, V*",India,216,208,37,10232,183,38,48,59.84,92.88
13,"Dhoni, M S*",India,332,281,78,10173,183*,10,67,50.11,87.9
14,"Gayle, C H*",West Indies,284,279,17,9727,215,23,49,37.13,85.83
15,Mohammad Yousuf,Pakistan,288,273,40,9720,141*,15,64,41.72,75.1
16,"Gilchrist, A C",Australia,287,279,11,9619,172,16,55,35.89,96.95
17,"de Villiers, A B",South Africa,228,218,39,9577,176,25,53,53.5,101.1
18,"Azharuddin, M",India,334,308,54,9378,153*,7,58,36.92,74.02
19,"de Silva, P A",Sri Lanka,308,296,30,9284,145,11,64,34.9,81.13
20,Saeed Anwar,Pakistan,247,244,19,8824,194,20,43,39.22,80.67
21,"Chanderpaul, S",West Indies,268,251,40,8778,150,11,59,41.6,70.76
22,Yuvraj Singh*,India,304,278,40,8701,150,14,52,36.56,87.69
23,"Haynes, D L",West Indies,238,237,28,8648,152*,17,57,41.38,63.09
24,"Atapattu, M S",Sri Lanka,268,259,32,8529,132*,11,59,37.57,67.72
25,"Waugh, M E",Australia,244,236,20,8500,173,18,50,39.35,76.9
26,"Sehwag, V",India,251,245,9,8273,219,15,38,35.06,104.33
27,"Gibbs, H H",South Africa,248,240,16,8094,175,21,37,36.13,83.26
28,Shahid Afridi,Pakistan,398,369,27,8064,124,6,39,23.58,117.01
29,"Fleming, S P",New Zealand,280,269,21,8037,134*,8,49,32.41,71.48
30,"Clarke, M J",Australia,245,223,44,7981,130,8,58,44.59,78.99
31,"Amla, H M*",South Africa,169,166,11,7696,159,26,36,49.65,89.3
32,"Waugh, S R",Australia,325,288,58,7569,120*,3,45,32.91,75.91
33,"Ranatunga, A",Sri Lanka,269,255,47,7456,131*,4,49,35.85,77.9
34,"Sharma, R G*",India,193,187,31,7454,264,21,37,47.78,88.67
35,"Taylor, L R P L*",New Zealand,207,192,34,7433,181*,19,43,47.04,82.58
36,Javed Miandad,Pakistan,233,218,41,7381,119*,8,50,41.7,67.01
37,Shoaib Malik*,Pakistan,274,246,40,7284,143,9,43,35.36,81.76
38,Younis Khan,Pakistan,265,255,23,7249,144,7,48,31.25,75.28
39,Saleem Malik,Pakistan,283,256,38,7170,102,5,47,32.89,76.41
40,"Astle, N J",New Zealand,223,217,14,7090,145*,16,41,34.93,72.64
41,"Smith, G C",South Africa,197,194,10,6989,141,10,47,37.98,80.82
42,"Tharanga, W U*",Sri Lanka,232,220,17,6936,174*,15,37,34.17,75.98
43,"Bevan, M G",Australia,232,196,67,6912,108*,6,46,53.58,74.16
44,"Flower, A",Zimbabwe,213,208,16,6786,145,4,55,35.34,74.6
45,"Kirsten, G",South Africa,184,184,19,6768,188*,13,45,41.02,72.09
