S. No.,Player,Country,Matches,Balls,Runs,Wkts,  BBI,FourWickets,Avg,StrikeRate,Economy,Bowled,Catched,CaughtAndBowled,LBW
1,"Muralitharan, M",Sri Lanka/ACC Asian XI,350,18811,12326,534,07/30,25,23.08,35.23,3.93,22.8,46.1,8.2,12.2
2,Wasim Akram,Pakistan,356,18186,11812,502,05/15,23,23.53,36.23,3.9,35.1,27.5,18.5,18.3
3,Waqar Younis,Pakistan,262,12698,9919,416,07/36,27,23.84,30.52,4.69,36.3,27.2,18.8,17.5
4,"Vaas, W P U J C",Sri Lanka/ACC Asian XI,322,15775,11014,400,08/19,13,27.54,39.44,4.19,22.5,42,17.8,17.3
5,Shahid Afridi,Pakistan/ACC Asian XI,398,17670,13632,395,07/Dec,13,34.51,44.73,4.63,26.3,38,10.9,18.5
6,"Pollock, S M",South Africa/ACA Africa XI,303,15712,9631,393,06/35,17,24.51,39.98,3.68,19.1,48.9,17.8,14
7,"McGrath, G D",Australia/ICC World XI,250,12970,8391,381,07/15,16,22.02,34.04,3.88,22.8,40.9,23.4,12.6
8,"Lee, B",Australia,221,11185,8877,380,05/22,23,23.36,29.43,4.76,23.4,41.6,24.2,10.3
9,"Kumble, A",India/ACC Asian XI,271,14496,10412,337,06/Dec,10,30.9,43.01,4.31,27.3,43.6,5.3,16
10,"Jayasuriya, S T",Sri Lanka/ACC Asian XI,445,14874,11871,323,06/29,12,36.75,46.05,4.79,27.2,47.4,7.4,5
11,"Srinath, J",India,229,11935,8847,315,05/23,10,28.09,37.89,4.45,25.4,44.4,18.1,11.7
12,"Malinga, S L*",Sri Lanka,210,10094,8929,311,06/38,18,28.71,32.46,5.31,30.9,37.9,17.4,13.8
13,"Vettori, D L",New Zealand/ICC World XI,295,14060,9674,305,05/Jul,10,31.72,46.1,4.13,18.4,47.5,8.9,19.3
14,"Warne, S K",Australia/ICC World XI,194,10642,7541,293,05/33,13,25.74,36.32,4.25,16.7,42.3,7.2,16.4
15,Saqlain Mushtaq,Pakistan,169,8770,6275,288,05/20,17,21.79,30.45,4.29,19.1,51.4,6.9,8
16,"Agarkar, A B",India,191,9484,8021,288,06/42,12,27.85,32.93,5.07,24.7,43.4,18.8,13.2
17,"Khan, Z",India/ACC Asian XI,200,10097,8301,282,05/42,8,29.44,35.8,4.93,28.4,42.6,11.7,17.4
18,"Kallis, J H",South Africa/ACA Africa XI,328,10750,8680,273,05/30,4,31.79,39.38,4.84,20.1,49.8,22.3,7.7
19,"Donald, A A",South Africa,164,8561,5926,272,06/23,13,21.79,31.47,4.15,22.1,45.2,23.2,9.6
20,Harbhajan Singh,India/ACC Asian XI,236,12479,8973,269,05/31,5,33.36,46.39,4.31,11.5,57.6,6.7,10.8
21,Abdul Razzaq,Pakistan/ACC Asian XI,265,10941,8564,269,06/35,11,31.84,40.67,4.7,30.1,35.7,20.4,13.8
22,"Anderson, J M*",England,194,9584,7861,269,05/23,13,29.22,35.63,4.92,22.7,52.4,17.5,7.4
23,"Ntini, M",South Africa/ICC World XI,173,8687,6559,266,06/22,12,24.66,32.66,4.53,17.3,50.8,28.6,3
24,Mashrafe Mortaza*,Bangladesh/ACC Asian XI,201,10048,8059,256,06/26,8,31.48,39.25,4.81,20.7,44.9,19.1,14.5
25,Kapil Dev,India,225,11202,6945,253,05/43,4,27.45,44.28,3.72,31.2,40.7,11.5,16.2
26,Shoaib Akhtar,Pakistan/ACC Asian XI,163,7764,6169,247,06/16,10,24.98,31.43,4.77,34.8,39.3,15.8,10.1
27,Shakib Al Hasan*,Bangladesh,194,9845,7293,245,05/47,9,29.77,40.18,4.44,20.8,44.5,7.8,19.2
28,"Mills, K D",New Zealand,170,8230,6485,240,05/25,9,27.02,34.29,4.73,12.5,57.9,19.6,10
29,"Johnson, M G",Australia,153,7489,6038,239,06/31,12,25.26,31.33,4.84,15.1,48.1,25.9,10.5
30,"Streak, H H",Zimbabwe/ACA Africa XI,189,9468,7129,239,05/32,8,29.83,39.62,4.52,23.8,35.1,23,17.6
31,"Gough, D",England/ICC World XI,158,8404,6169,235,05/44,12,26.25,35.76,4.4,25.5,40.9,22.1,11.5
32,"Walsh, C A",West Indies,205,10822,6918,227,05/Jan,7,30.48,47.67,3.84,22.9,41.9,26,7.9
33,"Ambrose, C E L",West Indies,176,9353,5429,225,05/17,10,24.13,41.57,3.48,29.3,43.6,20.4,6.2
34,Abdur Razzak*,Bangladesh,153,7965,6065,207,05/29,9,29.3,38.48,4.57,27.5,30.9,5.8,27.5
35,"Harris, C Z",New Zealand,250,10667,7613,203,05/42,3,37.5,52.55,4.28,17.2,64,5.9,8.9
36,"McDermott, C J",Australia,138,7461,5018,203,05/44,5,24.72,36.75,4.04,27.1,46.8,17.2,8.9
37,"Cairns, C L",New Zealand/ICC World XI,215,8168,6594,201,05/42,4,32.81,40.64,4.84,25.4,44.8,20.4,9
38,"Kulasekara, K M D N*",Sri Lanka,184,8263,6751,199,05/22,5,33.92,41.52,4.9,22.6,34.2,20.1,23.1
39,"Bravo, D J J*",West Indies,164,6511,5874,199,06/43,7,29.52,32.72,5.41,26.1,50.3,16.1,7.5
40,"Prasad, B K V",India,161,8129,6332,196,05/27,4,32.31,41.47,4.67,17.3,51.5,23.5,7.7
41,"Waugh, S R",Australia,325,8883,6761,195,04/33,3,34.67,45.55,4.57,22.6,50.8,15.4,11.3
42,"Hooper, C L",West Indies,227,9573,6958,193,04/34,3,36.05,49.6,4.36,31.1,44,6.2,3.1
43,"Klusener, L",South Africa,171,7336,5751,192,06/49,7,29.95,38.21,4.7,21.4,54.2,14.1,10.4
44,"Steyn, D W*",South Africa/ACA Africa XI,121,6076,4935,192,06/39,7,25.7,31.65,4.87,18.2,52.1,21.4,7.8
45,"Morkel, M",South Africa/ACA Africa XI,117,5760,4761,188,05/21,9,25.32,30.64,4.96,15.4,54.8,26.1,3.7
46,"Fernando, C R D*",Sri Lanka/ACC Asian XI,147,6507,5648,187,06/27,4,30.2,34.8,5.21,25.7,43.3,18.2,12.8
47,Saeed Ajmal,Pakistan,113,5943,4121,184,05/24,8,22.4,32.3,4.16,22.8,37.5,9.2,19.6
48,Aaqib Javed,Pakistan,163,8012,5721,182,07/37,6,31.43,44.02,4.28,28.6,38.5,22.5,10.4
49,Imran Khan,Pakistan,175,7461,4844,182,06/14,4,26.62,40.99,3.9,29.7,36.3,20.3,13.7
50,Umar Gul*,Pakistan,130,6064,5253,179,06/42,6,29.35,33.88,5.2,30.2,38,18.4,12.8
51,"Broad, S C J*",England,121,6109,5364,178,05/23,10,30.13,34.32,5.27,14.6,50.6,26.4,6.7
52,"Southee, T G*",New Zealand,135,6780,6089,176,07/33,6,34.6,38.52,5.39,19.9,43.2,22.7,13.6
53,"Bracken, N W",Australia,116,5759,4240,174,05/47,7,24.37,33.1,4.42,17.2,54,20.7,6.9
54,"Oram, J D P",New Zealand,160,6911,5047,173,05/26,5,29.17,39.95,4.38,15,48.6,28.3,6.9
55,"Pathan, I K",India,120,5855,5142,173,05/27,7,29.72,33.84,5.27,16.2,48.6,16.2,17.9
56,"Jadeja, R A*",India,144,7255,5905,169,05/36,8,34.94,42.93,4.88,26,38.5,7.1,17.8
57,"Flintoff, A",England/ICC World XI,141,5624,4121,169,05/19,8,24.38,33.28,4.4,29,39.1,26,5.9
58,"Watson, S R",Australia,190,6466,5342,168,04/36,3,31.8,38.49,4.96,17.9,52.4,18.5,10.7
59,"Gayle, C H*",West Indies/ICC World XI,284,7322,5831,165,05/46,4,35.34,44.38,4.78,29.7,47.9,6.1,9.7
60,"Perera, N L T C*",Sri Lanka,145,5122,4991,163,06/44,9,30.62,31.42,5.85,19,47.2,24.5,9.2
61,Mushtaq Ahmed,Pakistan,144,7543,5361,161,05/36,4,33.3,46.85,4.26,18.6,54.7,9.3,6.2
62,"Hadlee, R J",New Zealand,115,6182,3407,158,05/25,6,21.56,39.13,3.31,27.8,32.9,22.2,17.1
63,"Marshall, M D",West Indies,136,7175,4233,157,04/18,6,26.96,45.7,3.54,31.2,36.3,21.7,10.2
64,"Prabhakar, M M",India,130,6360,4534,157,05/33,6,28.88,40.51,4.28,31.2,44.6,11.5,12.7
65,"Nehra, A",India,120,5751,4981,157,06/23,7,31.73,36.63,5.2,18.5,48.4,21.7,11.5
66,Shoaib Malik*,Pakistan,274,7925,6163,156,04/19,1,39.51,50.8,4.67,19.9,48.1,11.5,10.3
67,"Hogg, G B",Australia,123,5564,4188,156,05/32,5,26.85,35.67,4.52,14.7,50,10.3,17.3
68,"Tendulkar, S R",India,463,8054,6850,154,05/32,6,44.48,52.3,5.1,20.1,44.8,9.7,11
69,"Mendis, B A W*",Sri Lanka,87,4154,3324,152,06/13,10,21.87,27.33,4.8,23.7,41.4,5.9,22.4
70,Imran Tahir*,South Africa,91,4701,3675,151,07/45,9,24.34,31.13,4.69,18.5,47.7,6,23.2
71,"Chandana, U D U",Sri Lanka,147,6142,4818,151,05/61,5,31.91,40.68,4.71,19.9,48.3,9.9,9.9
72,"Ashwin, R*",India,111,6021,4937,150,04/25,1,32.91,40.14,4.92,18,46.7,8.7,15.3
73,"Bond, S E",New Zealand,82,4295,3070,147,06/19,11,20.88,29.22,4.29,23.8,50.3,18.4,7.5
74,"Garner, J",West Indies,98,5330,2752,146,05/31,5,18.85,36.51,3.1,29.5,41.1,19.9,9.6
75,"Botham, I T",England,116,6271,4139,145,04/31,3,28.54,43.25,3.96,29.7,40,18.6,11.7
76,"Odoyo, T M",Kenya/ACA Africa XI,136,5649,4335,145,04/25,5,29.9,38.96,4.6,24.8,40.7,15.9,17.9
77,"Starc, M A*",Australia,75,3761,3110,145,06/28,14,21.45,25.94,4.96,40,35.2,15.2,9.7
78,"Holding, M A",West Indies,102,5473,3034,142,05/26,6,21.37,38.54,3.33,29.6,45.1,18.3,5.6
79,"Gillespie, J N",Australia,97,5144,3611,142,05/22,6,25.43,36.23,4.21,18.3,38,27.5,16.2
80,"Chatfield, E J",New Zealand,114,6065,3618,140,05/34,4,25.84,43.32,3.58,20,59.3,15.7,5
